customer_id, customer_type, login_password, customer_name_or_company_name, contact_phone, application_id, sku_id, application_amount, application_quantity, application_time, spu_id, asset_name, asset_original_value, asset_weight_kg, industry_id, industry_name, approval_order_id, credit_approval_id, repayment_method, order_type, order_creation_time, approval_status
CUST_10001,企业,)1QEHM2oe3lp,戴硕电子网络有限公司,18653054775,APP_20240001,SPU_942_SKU_21,5014097.03,7,2025-05-03 07:36:36,SPU_942,高性能服务器集群,783970.53,8913,104,信息技术,ORD_20250503_0001,AUTH_30001,等额本金,直接租赁,2025-05-08 07:36:36,通过
CUST_10002,个人,@*W)576H5s0O,刘鹏,13692326028,APP_20240002,SPU_725_SKU_93,2115537.72,1,2025-01-26 23:15:05,SPU_725,工业机器人臂,2536803.18,4639,101,高端制造,ORD_20250126_0002,AUTH_30002,等额本金,售后回租,2025-01-29 23:15:05,通过
CUST_10003,个人,^36MrbNw6*zY,梁建军,13568847953,APP_20240003,SPU_568_SKU_54,6969487.16,2,2024-09-18 07:43:27,SPU_568,光伏组件,4337017.49,8997,105,绿色能源,ORD_20240918_0003,AUTH_30003,等额本息,直接租赁,2024-09-21 07:43:27,通过
CUST_10004,企业,*9xaumdWc8Zg,七喜信息有限公司,18590159569,APP_20240004,SPU_530_SKU_90,25788060.1,7,2025-04-01 21:31:38,SPU_530,工业机器人臂,4549747.76,2033,101,高端制造,ORD_20250401_0004,AUTH_30004,等额本金,直接租赁,2025-04-05 21:31:38,通过
CUST_10005,个人,)(NY2kac07eS,翁凤兰,13185439930,APP_20240005,SPU_725_SKU_94,9414538.87,8,2024-06-06 06:31:01,SPU_725,工业机器人臂,1411044.63,3818,101,高端制造,ORD_20240606_0005,AUTH_30005,按季付息到期还本,直接租赁,2024-06-10 06:31:01,拒绝
CUST_10006,个人,I)tiTiBAg%78,李欢,18060578929,APP_20240006,SPU_606_SKU_31,2559489.53,10,2024-06-02 18:31:36,SPU_606,核磁共振成像仪,283447.33,5997,102,医疗器械,ORD_20240602_0006,AUTH_30006,按季付息到期还本,售后回租,2024-06-06 18:31:36,通过
CUST_10007,企业,qY8DFX_gr^ZI,万迅电脑信息有限公司,18588547504,APP_20240007,SPU_646_SKU_43,10963631.56,4,2025-11-01 00:23:54,SPU_646,工业机器人臂,3091684.43,7451,101,高端制造,ORD_20251101_0007,AUTH_30007,等额本息,售后回租,2025-11-06 00:23:54,通过
CUST_10008,个人,L44GW$m_^l$7,庞超,15622468199,APP_20240008,SPU_801_SKU_13,8178781.37,5,2025-11-23 06:59:20,SPU_801,光伏组件,1727735.91,6577,105,绿色能源,ORD_20251123_0008,AUTH_30008,等额本息,售后回租,2025-11-28 06:59:20,拒绝
CUST_10009,企业,_PvaCRe*t52Q,雨林木风计算机传媒有限公司,18940361839,APP_20240009,SPU_818_SKU_36,25198339.11,8,2025-05-12 07:47:04,SPU_818,高性能服务器集群,3457157.81,1165,104,信息技术,ORD_20250512_0009,AUTH_30009,等额本金,直接租赁,2025-05-17 07:47:04,通过
CUST_10010,个人,3#vdxF0j4l16,张秀梅,15717287001,APP_20240010,SPU_155_SKU_93,1117911.12,2,2025-02-11 09:32:53,SPU_155,核磁共振成像仪,617489.53,4282,102,医疗器械,ORD_20250211_0010,AUTH_30010,等额本息,售后回租,2025-02-14 09:32:53,通过
CUST_10011,个人,&XuB4E6l1xFW,袁桂芝,15728047155,APP_20240011,SPU_507_SKU_14,610408.03,1,2025-02-25 04:29:17,SPU_507,新能源重卡,664912.16,7830,106,交通运输,ORD_20250225_0011,AUTH_30011,按季付息到期还本,直接租赁,2025-02-26 04:29:17,通过
CUST_10012,个人,!F!yqzhlk8*E,杜燕,18127018665,APP_20240012,SPU_915_SKU_43,2222133.25,2,2025-09-29 03:20:53,SPU_915,光伏组件,1331653.87,8674,105,绿色能源,ORD_20250929_0012,AUTH_30012,等额本息,直接租赁,2025-10-01 03:20:53,通过
CUST_10013,个人,@A*TTWhn%y5J,汤阳,15732150549,APP_20240013,SPU_471_SKU_32,31168672.31,7,2024-07-23 20:45:52,SPU_471,液压挖掘机,4876870.55,9806,103,工程机械,ORD_20240723_0013,AUTH_30013,等额本息,售后回租,2024-07-27 20:45:52,通过
CUST_10014,个人,1%JTvdEx8(8P,王晶,18518053848,APP_20240014,SPU_441_SKU_99,8599409.98,4,2024-12-30 05:33:09,SPU_441,液压挖掘机,2608721.19,2367,103,工程机械,ORD_20241230_0014,AUTH_30014,等额本息,售后回租,2024-12-31 05:33:09,通过
CUST_10015,企业,NhFQ0LsT^T4(,浦华众城科技有限公司,15219814485,APP_20240015,SPU_480_SKU_43,10021949.36,3,2025-10-02 02:21:09,SPU_480,高性能服务器集群,3819465.01,2414,104,信息技术,ORD_20251002_0015,AUTH_30015,等额本息,售后回租,2025-10-06 02:21:09,通过
CUST_10016,个人,dx*0Iy0q$1R),何彬,18205200982,APP_20240016,SPU_343_SKU_25,12725999.55,8,2025-05-20 12:21:21,SPU_343,高性能服务器集群,1790422.75,2773,104,信息技术,ORD_20250520_0016,AUTH_30016,等额本金,售后回租,2025-05-25 12:21:21,通过
CUST_10017,企业,$LbxPQkax2cW,同兴万点信息有限公司,15991156620,APP_20240017,SPU_179_SKU_83,3588649.71,1,2024-12-16 18:41:38,SPU_179,液压挖掘机,4329759.4,1852,103,工程机械,ORD_20241216_0017,AUTH_30017,按季付息到期还本,直接租赁,2024-12-19 18:41:38,通过
CUST_10018,企业,@j^az1bUy4fA,太极传媒有限公司,18692112116,APP_20240018,SPU_831_SKU_75,2166322.34,2,2024-10-17 12:14:51,SPU_831,光伏组件,1208000.99,549,105,绿色能源,ORD_20241017_0018,AUTH_30018,等额本息,售后回租,2024-10-19 12:14:51,通过
CUST_10019,个人,xzPl9#Ya+2zE,郑帆,15831643074,APP_20240019,SPU_310_SKU_31,5340453.24,4,2025-02-22 05:27:03,SPU_310,光伏组件,1591380.23,7475,105,绿色能源,ORD_20250222_0019,AUTH_30019,按季付息到期还本,直接租赁,2025-02-26 05:27:03,通过
CUST_10020,个人,d^2*$yZzx+dL,许梅,18554305356,APP_20240020,SPU_951_SKU_43,11565034.85,3,2025-12-14 15:19:46,SPU_951,光伏组件,4415731.98,2009,105,绿色能源,ORD_20251214_0020,AUTH_30020,按季付息到期还本,直接租赁,2025-12-19 15:19:46,通过
CUST_10021,个人,WZhy7LTn+393,柳颖,18129109927,APP_20240021,SPU_217_SKU_22,2301522.44,2,2025-09-12 08:12:14,SPU_217,高性能服务器集群,1400483.44,2125,104,信息技术,ORD_20250912_0021,AUTH_30021,按季付息到期还本,售后回租,2025-09-13 08:12:14,通过
CUST_10022,个人,dx+JMuDt%K8C,汪亮,13425518427,APP_20240022,SPU_611_SKU_12,22584741.68,6,2024-12-02 16:42:20,SPU_611,新能源重卡,4665880.72,3942,106,交通运输,ORD_20241202_0022,AUTH_30022,按季付息到期还本,直接租赁,2024-12-07 16:42:20,通过
CUST_10023,企业,^7ipnNLkgqQ8,惠派国际公司传媒有限公司,18894003991,APP_20240023,SPU_814_SKU_95,1984281.26,1,2025-06-19 02:48:36,SPU_814,新能源重卡,2266175.58,5916,106,交通运输,ORD_20250619_0023,AUTH_30023,按季付息到期还本,售后回租,2025-06-22 02:48:36,审批中
